tipo,tag,conteo,motivo
mantener,clasico,471,tag util
mantener,citrico,232,tag util
mantener,gin,111,tag util
mantener,amargo,52,tag util
mantener,vino,49,tag util
mantener,refrescante,48,tag util
mantener,cremoso,44,tag util
mantener,rapido,27,tag util
mantener,cafe,26,tag util
mantener,top-bars,26,tag util
mantener,tequila,22,tag util
mantener,espumante,18,tag util
mantener,frutal,16,tag util
mantener,moderno,15,tag util
mantener,chileno,14,tag util
mantener,sour,14,tag util
mantener,campari,13,tag util
mantener,bar-top-chile,12,tag util
mantener,pisco,12,tag util
mantener,martini,11,tag util
mantener,verano,10,tag util
mantener,aperitivo,9,tag util
mantener,chileno-autor,7,tag util
mantener,siam-thai,7,tag util
mantener,estadounidense,6,tag util
mantener,italiano,5,tag util
mantener,negroni,5,tag util
mantener,tiki,5,tag util
mantener,espanol,4,tag util
mantener,mezcal,4,tag util
mantener,mojito,4,tag util
mantener,ingles,3,tag util
mantener,mule,3,tag util
mantener,argentino,2,tag util
mantener,brasileno,2,tag util
mantener,jerez,2,tag util
mantener,last-word-family,2,tag util
mantener,mexicano,2,tag util
mantener,old-fashioned,2,tag util
mantener,peruano,2,tag util
mantener,sobremesa,2,tag util
mantener,agave,1,tag util
mantener,frances,1,tag util
mantener,highball,1,tag util
mantener,invierno,1,tag util
mantener,navidad,1,tag util
