nombre,tags,paso_a_paso
A. J.,"citrico, clasico","1) Agregar Applejack y Jugo de pomelo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
A1,"citrico, clasico, gin","1) Agregar Gin, Grand Marnier, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
ABC,clasico,"1) Agregar Amaretto, Baileys crema irlandesa y Cognac al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso de shot."
Abilene,"citrico, clasico","1) Agregar Ron oscuro, Nectar de durazno y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Acapulco,"citrico, clasico, cremoso","1) Agregar Ron claro, Triple sec, Jugo de lima, Azucar y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Menta."
Ace,"clasico, cremoso, gin","1) Agregar Gin, Granadina, Crema espesa, Leche y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa martini."
ACID,clasico,"1) Agregar Ron 151 grados y Wild Turkey a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Adam,"citrico, clasico","1) Agregar Ron oscuro, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Addington,"clasico, vino","1) Llenar copa de coctel con hielo.
2) Agregar Vermut dulce y Vermut seco.
3) Completar con Agua con gas y mezclar suavemente."
Addison,"clasico, gin","1) Agregar Gin y Vermut a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa martini bien frio."
Affair,"citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Schnapps de frutilla, Jugo de naranja y Jugo de arandano.
3) Completar con Agua tonica y mezclar suavemente."
Affinity,"clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de naranja a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Afterglow,"citrico, clasico, refrescante","1) Agregar Granadina, Jugo de naranja y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Alexander,"clasico, gin","1) Agregar Gin, Crema de cacao y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Nuez moscada."
Algonquin,"citrico, clasico","1) Agregar Whisky mezclado, Vermut seco y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Allegheny,"citrico, clasico","1) Agregar Vermut seco, Whiskey Bourbon, Brandy de mora y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cascara de limon."
Almeria,"clasico, cremoso","1) Agregar Ron oscuro, Kahlua y Clara de huevo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Alsterwasser,"clasico, estadounidense, rapido, refrescante, verano","1) Agregar Cerveza lager y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta."
Amaretto Sour,"amargo, citrico, cremoso, moderno, sour, top-bars","1) Agregar Amaretto, Jugo de limon, Jarabe simple, Clara de huevo y Amargo de angostura a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Americano,"amargo, campari, clasico, estadounidense, vino","1) Agregar Campari y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.
4) Decorar con Cascara de limon y Cascara de naranja."
Apello,"citrico, clasico, refrescante","1) Agregar Jugo de naranja, Jugo de pomelo y Jugo de manzana a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Cereza marrasquino."
Aperol Spritz,"aperitivo, clasico, espumante, italiano, rapido, verano","1) Llenar copa de vino con hielo.
2) Agregar Aperol.
3) Completar con Prosecco y Agua con gas y mezclar suavemente.
4) Decorar con Naranja."
Applecar,"citrico, clasico","1) Agregar Applejack, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Artillery,"amargo, clasico, gin, vino","1) Agregar Vermut dulce, Gin y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
AT&T,"clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Vodka y Gin.
3) Completar con Agua tonica y mezclar suavemente."
Avalanche,clasico,"1) Agregar Crown Royal, Kahlua y Crema a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio."
Avalon,"citrico, clasico","1) Agregar Vodka, Pisang Ambon, Jugo de manzana, Jugo de limon y Limonada a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Aviation,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon y Licor de maraschino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
B-52,clasico,"1) Agregar Baileys crema irlandesa, Grand Marnier y Kahlua al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso de shot."
B-53,clasico,"1) Agregar Kahlua, Sambuca y Grand Marnier al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso collins."
Baby Eskimo,"clasico, cremoso","1) Agregar Kahlua, Leche y Helado de vainilla a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Bahama Mama,"citrico, clasico","1) Agregar Ron, Ron oscuro, Licor de banana, Granadina, Jugo de piña, Jugo de naranja y Mezcla agridulce a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Balmoral,"amargo, clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Barracuda,"citrico, clasico, espumante","1) Agregar Ron, Galliano, Jugo de piña y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa margarita y completar con Prosecco."
Batanga,"citrico, clasico, mexicano, rapido, tequila","1) Llenar vaso highball con hielo.
2) Agregar Tequila y Jugo de lima.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Sal."
Batida,"brasileno, citrico, clasico, cremoso, frutal","1) Agregar Cachaca, Leche de coco, Jugo de maracuya y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Bellini,"clasico, espumante","1) Agregar Champagne y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Between the Sheets,"citrico, clasico, frances","1) Agregar Cognac, Ron blanco, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Bible Belt,"citrico, clasico","1) Agregar Southern Comfort, Triple sec, Lima y Mezcla sour a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio."
Big Red,clasico,"1) Agregar Baileys crema irlandesa y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Bijou,"clasico, gin, vino","1) Agregar Amargo de naranja, Green Chartreuse, Gin y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Blackthorn,"clasico, gin, vino","1) Agregar Vermut dulce y Sloe gin a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
Bluebird,"amargo, clasico, gin","1) Agregar Gin, Triple sec, Curacao azul y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino y Cascara de limon."
Bob Marley,clasico,"1) Agregar Licor de melon, Jägermeister y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Boomerang,"amargo, clasico, gin","1) Agregar Gin, Vermut seco, Amargo de angostura y Licor de maraschino a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino."
Bora Bora,"citrico, clasico, frutal, refrescante","1) Agregar Jugo de piña, Jugo de maracuya, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Borgoña,"chileno, clasico, frutal, verano, vino","1) Agregar Vino tinto, Frutillas, Azucar y Cointreau a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso corto.
4) Decorar con Durazno."
Boston Sour,"citrico, clasico, cremoso, sour","1) Agregar Whisky mezclado, Limon, Azucar flor y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Cereza marrasquino."
Boulevardier,"amargo, campari, clasico, estadounidense, gin, rapido, vino","1) Agregar Whiskey Bourbon, Campari y Vermut rojo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso bajo bien frio.
4) Decorar con Naranja."
